Date,Particulars,Mode of Payment,Ref No./ Invoice No.,,Amount,,,Category,Drive Receipt Link
25/08/2026,Hock Poh Trading - JOSS PAPER (x2.0); THUMBS PEANUT (x1.0),Cash,CS26124271,,46.0,,,Plant Inputs,https://drive.google.com/file/d/18_Lkesoi7i9c-cg906xtT8EONJiUG7NN/view?usp=drivesdk
26/08/2026,"Hock Poh Trading - Joss Paper, Rice Wine, Thumbs Peanut",Cash,CS26124271,,46.0,,,Plant Inputs,
26/08/2026 16:04:39,26/08/2026,SKG TYRE AUTOCARE SDN BHD - Inner Patching / Tyre Repair,Cash,CS-2401407,,40.0,,,Upkeep of Vehicles,https://drive.google.com/file/d/1AwLJfva77CE2VtLJwXXCrTjX4331IUdB/view?usp=drivesdk
26/08/2026 18:32:40,26/08/2026,Farm 2 Supplier - Fertilizer 50KG,Cash,INV-9922,,160.0,,,Plant Inputs,
